,Bidding Zone,Installed Capacity [MW],Name,Production Type,Voltage Connection Level [kV]
11WD8REUW1C----4,10YDE-VE-------2,564.0,HKW Reuter West,Fossil Hard coal,380.0
11WD8ROST1C---P5,10YDE-VE-------2,514.0,Kraftwerk Rostock,Fossil Hard coal,380.0
11WD8CHAR5X----K,10YDE-VE-------2,146.0,Charlottenburg,Fossil Gas,110.0
11W0-0000-0340-T,10YDE-VE-------2,167.0,HKW Nord,Fossil Gas,110.0
11WD8DRES5X---PZ,10YDE-VE-------2,260.0,GTHKW Nossener Bruecke,Fossil Gas,110.0
11WD8SCHK1L----O,10YDE-VE-------2,900.0,Schkopau,Fossil Brown coal/Lignite,380.0
11WD8HAVLXW---PM,10YDE-VE-------2,147.0,Windpark Havelland,Wind Onshore,380.0
11WD8MARK1H----7,10YDE-VE-------2,960.0,PSW Markersbach,Hydro Pumped Storage,380.0
11WD8MOOR1C----G,10YDE-VE-------2,1600.0,HKW Moorburg,Fossil Hard coal,110.0
11WD8MOAB5X----5,10YDE-VE-------2,140.0,Moabit,Fossil Hard coal,110.0
11WD8HOH22H----1,10YDE-VE-------2,320.0,PSW Hohenwarte II,Hydro Pumped Storage,220.0
14W-DRX-WP-KW--S,10YDE-VE-------2,116.7,UW Druxberge,Wind Onshore,110.0
11W0-0000-0026-Y,10YDE-VE-------2,350.0,Wikinger_Prod,Wind Offshore,220.0
11WD8TIEF5X----V,10YDE-VE-------2,316.0,HKW Tiefstack,Fossil Hard coal,110.0
11WD8KLIN5X----0,10YDE-VE-------2,164.0,HKW Klingenberg,Fossil Gas,110.0
11WD8MITT5G----0,10YDE-VE-------2,444.0,HKW Mitte,Fossil Gas,110.0
11WD8BALT3W---PS,10YDE-VE-------2,336.3,Windpark Baltic 1 and 2,Wind Offshore,380.0
11WD8BOXB1L----J,10YDE-VE-------2,2470.0,KW Boxberg,Fossil Brown coal/Lignite,380.0
11WD8LICH5G----1,10YDE-VE-------2,144.0,HKW Lichterfelde,Fossil Gas,110.0
11WD8REUT5X----M,10YDE-VE-------2,160.0,HKW Reuter,Fossil Hard coal,110.0
11WD8SCHW5X----D,10YDE-VE-------2,359.0,Industriekraftwerk PCK,Fossil Oil,110.0
11WD8SWPU1L----5,10YDE-VE-------2,1510.0,KW Schwarze Pumpe,Fossil Brown coal/Lignite,380.0
11WD8GOLD1H----6,10YDE-VE-------2,1060.0,PSW Goldisthal,Hydro Pumped Storage,380.0
11WD8GEHA5H----R,10YDE-VE-------2,120.0,PSW Geesthacht,Hydro Pumped Storage,110.0
11WD8LIPD1L----P,10YDE-VE-------2,1782.0,KW Lippendorf,Fossil Brown coal/Lignite,380.0
11WD8WED15C----Q,10YDE-VE-------2,250.0,HKW Wedel,Fossil Hard coal,110.0
11WD8JAEN1L----Z,10YDE-VE-------2,2500.0,KW Jänschwalde,Fossil Brown coal/Lignite,380.0
11WD8WILM5O----7,10YDE-VE-------2,276.0,Wilmersdorf,Fossil Oil,110.0
54W-FIERZ000001A,10YAL-KESH-----5,500.0,FIERZAG,Hydro Water Reservoir,220.0
54W-BANJA002308X,10YAL-KESH-----5,72.0,BANJAG,Hydro Water Reservoir,220.0
54W-KOMAN0000066,10YAL-KESH-----5,600.0,KOMANG,Hydro Water Reservoir,220.0
54W-VAUDEJES011D,10YAL-KESH-----5,250.0,VAUDEJG,Hydro Water Reservoir,220.0
11WD7HUCK2G--KWR,10YDE-RWENET---I,600.0,Huckingen (HKM),Fossil Coal-derived gas,220.0
11WD7GARE5XHEKWQ,10YDE-RWENET---I,424.0,HERDECKE,Fossil Gas,110.0
11WD7LUDW5GSUEDE,10YDE-RWENET---I,345.0,GuD Ludwigshafen Süd,Fossil Gas,110.0
11WD7BISC5GKW23O,10YDE-RWENET---I,785.0,KW Mainz-Wiesbaden,Fossil Gas,110.0
11WD7BRAU5G-KW-N,10YDE-RWENET---I,562.0,GuD Dormagen,Fossil Gas,110.0
11WD7UCHT5XROSOK,10YDE-RWENET---I,125.0,Kraftwerk Römerbrücke,Fossil Gas,110.0
11WD7NORF5G--KWG,10YDE-RWENET---I,1145.0,Kraftwerk Lausward,Fossil Gas,110.0
11WD72VIA2H-KW-0,10YDE-RWENET---I,1294.0,Vianden,Hydro Pumped Storage,220.0
11WD4GKM-2CD7--7,10YDE-RWENET---I,691.7,GKM AG Amprion,Fossil Hard coal,220.0
11WD7ENSD5SKW3-E,10YDE-RWENET---I,283.0,Ensdorf,Fossil Hard coal,110.0
11WD7GARE5X-PSWB,10YDE-RWENET---I,140.0,PSW-ROENK-KW,Hydro Pumped Storage,110.0
11WD7KWKN1GBL203,10YDE-RWENET---I,426.0,Knapsack 2,Fossil Gas,380.0
11WD7WEIS-B-KW-C,10YDE-RWENET---I,2389.0,Weisweiler,Fossil Brown coal/Lignite,380.0
11WD7KWKN----KW1,10YDE-RWENET---I,784.0,Knapsack 1,Fossil Gas,380.0
11WD7IBBE2S--KW6,10YDE-RWENET---I,791.0,Ibbenbüren,Fossil Hard coal,380.0
11WD7NIED-B-KW-5,10YDE-RWENET---I,2795.0,Niederaußem,Fossil Brown coal/Lignite,380.0
11WD7ELLE5X--KWV,10YDE-RWENET---I,189.1,Kraftwerk Flingern,Waste,110.0
11WD7NEUR-B-KW-B,10YDE-RWENET---I,4212.0,Neurath,Fossil Brown coal/Lignite,380.0
11WD7BEEC5XRUKWN,10YDE-RWENET---I,320.0,RUHRORT-KW,Fossil Coal-derived gas,110.0
11WD7GARE5XELKWD,10YDE-RWENET---I,325.0,Elverlingsen,Fossil Hard coal,110.0
11WD7RHAU5G-3--3,10YDE-RWENET---I,274.0,HKW III,Fossil Gas,110.0
11WD7ENSD2SKW1-4,10YDE-RWENET---I,106.0,Kraftwerk Ensdorf,Fossil Hard coal,220.0
11WD7LUDW2GA800M,10YDE-RWENET---I,412.0,GuD Ludwigshafen Mitte,Fossil Gas,220.0
11WD7WEIH2S--KWV,10YDE-RWENET---I,656.0,Weiher,Fossil Hard coal,220.0
11WD7KWHU----KW9,10YDE-RWENET---I,746.0,KW Lünen,Fossil Hard coal,380.0
11WD7BERG1S--KWB,10YDE-RWENET---I,717.0,Bergkamen,Fossil Hard coal,380.0
11WD7BEEC5XHAKW5,10YDE-RWENET---I,385.0,HAMBORN-KW,Fossil Coal-derived gas,110.0
11WD4SWSW5HD7--F,10YDE-RWENET---I,870.0,Schluchsee,Hydro Pumped Storage,380.0
11WD7EMSL-G-KW-T,10YDE-RWENET---I,1820.0,Emsland,Fossil Gas,380.0
11WD7VOLK5S--KWI,10YDE-RWENET---I,390.0,Voelklingen,Fossil Hard coal,110.0
11WD7BOLA--KWNIK,10YDE-RWENET---I,866.0,HKW Niehl,Fossil Gas,380.0
11WD7WALS1S--KW0,10YDE-RWENET---I,1095.0,Walsum,Fossil Hard coal,380.0
11WD7STUM----KW9,10YDE-RWENET---I,850.0,KW Hamm-Uentrop,Fossil Gas,380.0
11WD7FUEH5GMEKW7,10YDE-RWENET---I,110.0,HKW Merkenich,Fossil Gas,110.0
11WD7HERN2S--KWU,10YDE-RWENET---I,740.0,Herne,Fossil Hard coal,220.0
11WD7KRBG1K-KW-V,10YDE-RWENET---I,1288.0,Gundremmingen,Nuclear,380.0
11WD7SCHO-S--KWW,10YDE-RWENET---I,690.0,Scholven,Fossil Hard coal,380.0
11WD7KOEP2P--KWG,10YDE-RWENET---I,162.0,Koepchenwerk,Hydro Pumped Storage,380.0
11WD7KKE-1K--KW5,10YDE-RWENET---I,1336.0,Emsland,Nuclear,380.0
11WD7WEST1S-KW-K,10YDE-RWENET---I,780.0,Westfalen,Fossil Hard coal,380.0
11WD7GERS-X-KW-C,10YDE-RWENET---I,1948.0,Gersteinwerk,Fossil Gas,380.0
11WD7MITB1C----N,10YDE-RWENET---I,726.0,Bexbach,Fossil Hard coal,380.0
14W-WGM-KW-----J,10YAT-APG------L,838.0,GDK-Mellach,Fossil Gas,380.0
14W-BOW-KW-----9,10YAT-APG------L,179.0,Ottensheim-Wilhering,Hydro Run-of-river and poundage,110.0
14W-TZG-KW-----H,10YAT-APG------L,200.2,Gerlos,Hydro Water Reservoir,110.0
14W-TZR-KW-----I,10YAT-APG------L,231.0,Roßhag,Hydro Pumped Storage,380.0
14WLSG-MITTE---U,10YAT-APG------L,216.8,FHKW Linz Mitte,Fossil Gas,110.0
14W-KW-THE-EVN-7,10YAT-APG------L,755.0,Kraftwerk Theiß,Fossil Gas,110.0
14WENERGIE--WT02,10YAT-APG------L,400.0,Kraftwerk Timelkam Gesamtanlage,Fossil Gas,110.0
14W-KW-DU2-EVN-K,10YAT-APG------L,378.4,Kraftwerk Dürnrohr,Fossil Hard coal,110.0
14WLSG-1SUED---5,10YAT-APG------L,158.0,FHKW Linz Süd,Fossil Gas,110.0
14W-TKH-KW-----O,10YAT-APG------L,260.0,Kaprun-Hauptstufe,Hydro Water Reservoir,110.0
14W-DMH-KW-----9,10YAT-APG------L,730.0,Malta-Hauptstufe,Hydro Pumped Storage,380.0
14W-E110349----M,10YAT-APG------L,114.0,Kraftwerk Oschenik,Hydro Pumped Storage,110.0
14W-PROD-LAU---8,10YAT-APG------L,140.0,KW Leopoldau,Fossil Gas,380.0
14W-KW-KO2-EVN-5,10YAT-APG------L,152.0,Kraftwerk Korneuburg,Fossil Gas,110.0
14W-VOEST-KW---0,10YAT-APG------L,153.0,voestalpine KW Linz,Fossil Gas,110.0
14W-BAW-KW-----F,10YAT-APG------L,328.0,Altenwörth,Hydro Run-of-river and poundage,380.0
14W-BWM-KW-----L,10YAT-APG------L,210.0,Wallsee-Mitterkirchen,Hydro Run-of-river and poundage,380.0
14W-WML-KW-----0,10YAT-APG------L,200.0,FHKW Mellach,Fossil Hard coal,110.0
14W-TKP-KW-----I,10YAT-APG------L,480.0,Limberg II,Hydro Pumped Storage,380.0
14W-TKS-KW-----P,10YAT-APG------L,120.0,Kaprun-Schwarzach,Hydro Water Reservoir,110.0
14W-BYP-KW-----6,10YAT-APG------L,236.5,Ybbs-Persenbeug,Hydro Run-of-river and poundage,380.0
11WD2KAUT0001512,10YAT-APG------L,392.0,KW Kaunertal,Hydro Water Reservoir,220.0
14W-TKO-KW-----S,10YAT-APG------L,112.8,Kaprun-Oberstufe,Hydro Pumped Storage,110.0
14W-DMO-KW-----D,10YAT-APG------L,120.0,Malta-Oberstufe,Hydro Pumped Storage,110.0
14W-PROD-DO----O,10YAT-APG------L,395.0,KW Donaustadt,Fossil Gas,380.0
14W-PROD-SIM---P,10YAT-APG------L,1284.2,KW Simmering,Fossil Gas,380.0
14W-DRP-KW-----M,10YAT-APG------L,430.0,Reisseck 2,Hydro Pumped Storage,380.0
14W-E110352----K,10YAT-APG------L,140.0,Kraftwerk Feldsee,Hydro Pumped Storage,110.0
14W-BAA-KW-----D,10YAT-APG------L,168.0,Abwinden-Asten,Hydro Run-of-river and poundage,110.0
14W-KW-HMUHR---R,10YAT-APG------L,107.0,Kraftwerk Hintermuhr,Hydro Pumped Storage,110.0
14W-BFR-KW-----A,10YAT-APG------L,172.0,Freudenau,Hydro Run-of-river and poundage,110.0
14WENERGIEAGWR05,10YAT-APG------L,150.0,Kraftwerk Riedersbach 2,Fossil Hard coal,110.0
14W-TZMA-KW----N,10YAT-APG------L,355.0,Mayrhofen,Hydro Water Reservoir,380.0
14W-TZH-KW-----7,10YAT-APG------L,360.0,Häusling,Hydro Pumped Storage,380.0
14W-E110354----8,10YAT-APG------L,100.0,Kraftwerk Außerfragant,Hydro Water Reservoir,110.0
14W-BAS-KW-----I,10YAT-APG------L,287.4,Aschach,Hydro Run-of-river and poundage,380.0
14W-BME-KW-----Q,10YAT-APG------L,187.0,Melk,Hydro Run-of-river and poundage,110.0
14W-BGS-KW-----Q,10YAT-APG------L,293.0,Greifenstein,Hydro Run-of-river and poundage,380.0
22WDOELX1000076X,10YBE----------2,433.0,DOEL 1,Nuclear,380.0
22WSAINT-000221B,10YBE----------2,350.0,SAINT-GHISLAIN STEG,Fossil Gas,150.0
22WDOELX40000793,10YBE----------2,1039.0,DOEL 4,Nuclear,380.0
22WRODENH000213L,10YBE----------2,268.0,RODENHUIZE 4,Biomass,150.0
22W20161130----Z,10YBE----------2,165.0,Nobelwind Offshore Windpark,Wind Offshore,220.0
22WCOOXII000070C,10YBE----------2,690.0,COO II T,Hydro Pumped Storage,380.0
22WBELWIN0000271,10YBE----------2,171.0,Belwind Phase 1,Wind Offshore,150.0
22WHERDER0001288,10YBE----------2,480.3,HERDERSBRUG STEG,Fossil Gas,150.0
22WDROGEN0000863,10YBE----------2,465.0,DROGENBOS TGV,Fossil Gas,150.0
22WRINGVA000209C,10YBE----------2,365.0,RINGVAART STEG,Fossil Gas,150.0
22WINESCO000149P,10YBE----------2,138.0,INESCO WKK,Fossil Gas,150.0
22WMARCIN000179H,10YBE----------2,413.0,Marcinelle Energie (Carsid),Fossil Gas,150.0
22WDOELX2000077N,10YBE----------2,433.0,DOEL 2,Nuclear,380.0
22WZELZAT0002618,10YBE----------2,315.0,Zelzate 2 Knippegroen,Fossil Gas,150.0
22W20180628----H,10YBE----------2,308.0,Rentel Offshore WP,Wind Offshore,220.0
22WSCHELD0002261,10YBE----------2,140.0,Scheldelaan Exxonmobil,Fossil Gas,150.0
22WZANDVL000255D,10YBE----------2,386.2,Zandvliet Power,Fossil Gas,150.0
22WTIHANG000239G,10YBE----------2,481.0,TIHANGE 1N,Nuclear,380.0
22W20181005PU--J,10YBE----------2,255.0,VILVOORDE GT,Fossil Gas,150.0
22WTIHANG000242R,10YBE----------2,1038.0,TIHANGE 3,Nuclear,380.0
22WTIHANG000241T,10YBE----------2,1008.0,TIHANGE 2,Nuclear,380.0
22WTIHANG000240V,10YBE----------2,481.0,TIHANGE 1S,Nuclear,380.0
22WNORTHW000187B,10YBE----------2,216.0,Northwind,Wind Offshore,220.0
22WTHORNT000237E,10YBE----------2,147.6,Thorntonbank - C-Power - Area NE,Wind Offshore,150.0
22WAMERCO000010Y,10YBE----------2,451.0,Amercoeur 1 R TGV,Fossil Gas,150.0
22WDOELX3000078D,10YBE----------2,1006.0,DOEL 3,Nuclear,380.0
22WTHORNT000238C,10YBE----------2,177.6,Thorntonbank - C-Power - Area SW,Wind Offshore,150.0
22WT-POWE000244W,10YBE----------2,422.0,T-power Beringen,Fossil Gas,150.0
22WPLATEX000208N,10YBE----------2,144.0,PLATE-TAILLE T,Hydro Pumped Storage,150.0
22W201806271---D,10YBE----------2,470.0,EDF Luminus Seraing TGV,Fossil Gas,220.0
22WCOOXIX000067T,10YBE----------2,474.0,COO I T,Hydro Pumped Storage,380.0
36W-TE-TUZLA---K,10YBA-JPCC-----D,730.0,TE_TUZLA,Fossil Brown coal/Lignite,220.0
36W-TE-KAKANJ--S,10YBA-JPCC-----D,416.0,TE_KAKANJ,Fossil Brown coal/Lignite,220.0
36W-TE-STANARI-V,10YBA-JPCC-----D,300.0,TE_STANARI,Fossil Brown coal/Lignite,400.0
36W-TE-UGLJEVIKN,10YBA-JPCC-----D,269.0,TE_UGLJEVIK,Fossil Brown coal/Lignite,400.0
36W-TE-GACKO---O,10YBA-JPCC-----D,269.0,TE_GACKO,Fossil Brown coal/Lignite,400.0
36W-HE-VISEGRADJ,10YBA-JPCC-----D,315.0,HE_VISEGRAD,Hydro Water Reservoir,400.0
36W-HECAPLJINA-1,10YBA-JPCC-----D,440.0,HE_CAPLJINA,Hydro Pumped Storage,220.0
36W-HE-DUBROV--K,10YBA-JPCC-----D,126.0,HE_DUBROVNIK,Hydro Water Reservoir,220.0
32W001100100050N,10YCA-BULGARIA-R,105.0,CHP_EVN_PLOVDIV,Fossil Gas,220.0
32W001100100005S,10YCA-BULGARIA-R,105.0,CHP_REPUBLIKA_PK,Fossil Brown coal/Lignite,220.0
32W0011001000838,10YCA-BULGARIA-R,110.0,HPP_KARDZHALI,Hydro Water Reservoir,220.0
32W001100100218B,10YCA-BULGARIA-R,570.0,TEC_BOBOVDOL_EAD,Fossil Brown coal/Lignite,400.0
32W0011001002199,10YCA-BULGARIA-R,420.0,TPP_VARNA_BG,Fossil Gas,400.0
32W001100100089X,10YCA-BULGARIA-R,110.0,TOPLO_RUSE,Fossil Hard coal,400.0
32W001100100088Z,10YCA-BULGARIA-R,120.0,TEC_MARITSA_3_AD,Fossil Brown coal/Lignite,400.0
32W0011001000854,10YCA-BULGARIA-R,114.0,HPP_IVAILOVGRAD,Hydro Water Reservoir,220.0
32W001100100217D,10YCA-BULGARIA-R,2080.0,NPP_KOZLODUY,Nuclear,400.0
32W001100100070H,10YCA-BULGARIA-R,375.0,PSHPP_BELMEKEN,Hydro Water Reservoir,220.0
32W001100100071F,10YCA-BULGARIA-R,240.0,HPP_SESTRIMO,Hydro Water Reservoir,220.0
32W001100100294W,10YCA-BULGARIA-R,686.0,AES_MI1,Fossil Brown coal/Lignite,400.0
32W0011001000781,10YCA-BULGARIA-R,160.0,PSHPP_ORFEUS_GEN,Hydro Water Reservoir,220.0
32W0011001000749,10YCA-BULGARIA-R,135.0,HPP_PESHTERA,Hydro Water Reservoir,220.0
32W001100100072D,10YCA-BULGARIA-R,120.0,HPP_MOMINA_KLISU,Hydro Water Reservoir,220.0
32W001100100026K,10YCA-BULGARIA-R,132.0,CHP_DEVEN,Fossil Hard coal,220.0
32W001100100022S,10YCA-BULGARIA-R,120.0,CHP_SVILOZA,Fossil Hard coal,220.0
32W001100100023Q,10YCA-BULGARIA-R,180.0,CHP_RUSE,Fossil Hard coal,220.0
32W001100100153D,10YCA-BULGARIA-R,1604.0,TPP_MI_2,Fossil Brown coal/Lignite,400.0
32W0011001000692,10YCA-BULGARIA-R,864.0,PSHPP_CHAIRA_GEN,Hydro Pumped Storage,400.0
32W001100100115L,10YCA-BULGARIA-R,156.0,WPP_SVETI_NIKOLA,Wind Onshore,220.0
32W0011001000676,10YCA-BULGARIA-R,257.0,CHP_LUKOIL_NEFTO,Fossil Gas,220.0
32W001100100063E,10YCA-BULGARIA-R,908.0,TPP_MI3,Fossil Brown coal/Lignite,400.0
32W001100100233F,10YCA-BULGARIA-R,200.0,CHP_BRIKEL_1,Fossil Brown coal/Lignite,220.0
27W-PU-EPLE----4,10YCZ-CEPS-----N,111.0,EPLE_______,Fossil Brown coal/Lignite,22.0
27W-PU-EKOM----C,10YCZ-CEPS-----N,192.0,EKOM_______,Fossil Brown coal/Lignite,110.0
27W-PU-EDET----M,10YCZ-CEPS-----N,748.0,EDET_______,Fossil Hard coal,220.0
27W-PU-EPC1----Y,10YCZ-CEPS-----N,916.0,EPC1_______,Fossil Brown coal/Lignite,400.0
27W-PU-EVRE----P,10YCZ-CEPS-----N,239.0,EVRE_______,Fossil Brown coal/Lignite,110.0
27W-PU-ETI2----S,10YCZ-CEPS-----N,105.0,ETI2_______,Fossil Brown coal/Lignite,220.0
27W-PU-EPC2----S,10YCZ-CEPS-----N,847.0,EPC2_______,Fossil Gas,400.0
27W-PU-ELI1----O,10YCZ-CEPS-----N,120.0,ELI1_______,Hydro Water Reservoir,110.0
27W-PU-EDAL----O,10YCZ-CEPS-----N,472.0,EDAL_______,Hydro Pumped Storage,400.0
27W-PU-EPR2----Y,10YCZ-CEPS-----N,1059.0,EPR2_______,Fossil Brown coal/Lignite,400.0
27W-PU-EME2----1,10YCZ-CEPS-----N,196.0,EME2_______,Fossil Brown coal/Lignite,110.0
27W-PU-ELEX2---U,10YCZ-CEPS-----N,194.0,ELED2______,Fossil Brown coal/Lignite,110.0
27W-PU-EME3----W,10YCZ-CEPS-----N,415.0,EME3_______,Fossil Brown coal/Lignite,400.0
27W-PU-EDST----Z,10YCZ-CEPS-----N,638.0,EDST_______,Hydro Pumped Storage,400.0
27W-PU-ELED----H,10YCZ-CEPS-----N,597.0,ELED_______,Fossil Brown coal/Lignite,110.0
27W-PU-EDUK----1,10YCZ-CEPS-----N,1880.0,EDUK_______,Nuclear,400.0
27W-PU-EOPA----8,10YCZ-CEPS-----N,348.0,EOPA_______,Fossil Brown coal/Lignite,110.0
27W-PU-EORK----8,10YCZ-CEPS-----N,360.0,EORK_______,Hydro Water Reservoir,220.0
27W-PU-EME1----7,10YCZ-CEPS-----N,275.0,EME1_______,Fossil Brown coal/Lignite,110.0
27W-PU-EPVR----4,10YCZ-CEPS-----N,400.0,EPVR_______,Fossil Gas,220.0
27W-PU-EECK----8,10YCZ-CEPS-----N,480.0,EECK_______,Fossil Brown coal/Lignite,110.0
27W-PU-ECHV----Y,10YCZ-CEPS-----N,767.0,ECHV_______,Fossil Brown coal/Lignite,400.0
27W-PU-ETU2----I,10YCZ-CEPS-----N,728.0,ETU2_______,Fossil Brown coal/Lignite,400.0
27W-PU-ETBE----5,10YCZ-CEPS-----N,174.0,ETBE_______,Fossil Hard coal,110.0
27W-PU-EPR1----3,10YCZ-CEPS-----N,393.0,EPR1_______,Fossil Brown coal/Lignite,400.0
27W-PU-EPOR----G,10YCZ-CEPS-----N,149.0,EPOR_______,Other,110.0
27W-PU-ETI1----Y,10YCZ-CEPS-----N,141.0,ETI1_______,Fossil Brown coal/Lignite,110.0
27W-PU-ESLA----4,10YCZ-CEPS-----N,132.0,ESLA_______,Hydro Water Reservoir,110.0
27W-PU-ETEM----A,10YCZ-CEPS-----N,2056.0,ETEM_______,Nuclear,400.0
11WD7GARE5XHEKWQ,10Y1001A1001A63L,424.0,HERDECKE,Fossil Gas,110.0
11WD7BISC5GKW23O,10Y1001A1001A63L,785.0,KW Mainz-Wiesbaden,Fossil Gas,110.0
11WD2ORG-000347Q,10Y1001A1001A63L,113.0,Offshore-Windpark RIFFGAT,Wind Offshore,155.0
11WD7BEEC5XRUKWN,10Y1001A1001A63L,320.0,RUHRORT-KW,Fossil Coal-derived gas,110.0
11WD7GARE5XELKWD,10Y1001A1001A63L,325.0,Elverlingsen,Fossil Hard coal,110.0
11WD7WEIH2S--KWV,10Y1001A1001A63L,656.0,Weiher,Fossil Hard coal,220.0
11WD2OTWB000266P,10Y1001A1001A63L,200.0,Windpark Trianel Borkum West,Wind Offshore,380.0
11W0-0000-0026-Y,10Y1001A1001A63L,350.0,Wikinger_Prod,Wind Offshore,220.0
11WD7BERG1S--KWB,10Y1001A1001A63L,717.0,Bergkamen,Fossil Hard coal,380.0
11WD7BEEC5XHAKW5,10Y1001A1001A63L,385.0,HAMBORN-KW,Fossil Coal-derived gas,110.0
11WD2OBUT0002657,10Y1001A1001A63L,288.0,OWP Butendiek,Wind Offshore,155.0
11WD7VOLK5S--KWI,10Y1001A1001A63L,390.0,Voelklingen,Fossil Hard coal,110.0
11WD7BOLA--KWNIK,10Y1001A1001A63L,866.0,HKW Niehl,Fossil Gas,380.0
11WD7WALS1S--KW0,10Y1001A1001A63L,1095.0,Walsum,Fossil Hard coal,380.0
11WD7FUEH5GMEKW7,10Y1001A1001A63L,110.0,HKW Merkenich,Fossil Gas,110.0
11WD7HERN2S--KWU,10Y1001A1001A63L,740.0,Herne,Fossil Hard coal,220.0
11WD2OGTI000264J,10Y1001A1001A63L,400.0,Global Tech I,Wind Offshore,380.0
11WD2OWVM000355S,10Y1001A1001A63L,402.0,Offshore-Windpark Veja Mate,Wind Offshore,155.0
11WD7MITB1C----N,10Y1001A1001A63L,726.0,Bexbach,Fossil Hard coal,380.0
11WD7HUCK2G--KWR,10Y1001A1001A82H,600.0,Huckingen (HKM),Fossil Coal-derived gas,220.0
11WD2BMIT0002731,10Y1001A1001A82H,176.0,KW Mittelsbueren,Fossil Gas,110.0
11WD2KUET000160J,10Y1001A1001A82H,289.0,KW Kühtai,Hydro Pumped Storage,220.0
11WD43VIWXHOILLM,10Y1001A1001A82H,2142.0,Vorarlberger Illwerke AG,Hydro Pumped Storage,220.0
11WD8REUW1C----4,10Y1001A1001A82H,564.0,HKW Reuter West,Fossil Hard coal,380.0
11WD2ERZH0002682,10Y1001A1001A82H,220.0,PSW Erzhausen,Hydro Pumped Storage,220.0
11WD8ROST1C---P5,10Y1001A1001A82H,514.0,Kraftwerk Rostock,Fossil Hard coal,380.0
11WD2OAMK000342L,10Y1001A1001A82H,301.0,Amrumbank West,Wind Offshore,400.0
11WD2ODTK000336Y,10Y1001A1001A82H,288.0,DanTysk,Wind Offshore,380.0
11WD8CHAR5X----K,10Y1001A1001A82H,146.0,Charlottenburg,Fossil Gas,110.0
11WD7LUDW5GSUEDE,10Y1001A1001A82H,345.0,GuD Ludwigshafen Süd,Fossil Gas,110.0
11W0-0000-0029-P,10Y1001A1001A82H,332.0,Windpark Nordsee One,Wind Offshore,155.0
11WD2HANN5C----0,10Y1001A1001A82H,272.0,GKW Hannover (GKH),Fossil Hard coal,110.0
11WD2SILT000157E,10Y1001A1001A82H,500.0,KW Silz,Hydro Water Reservoir,220.0
11WD4HLBR1CS---A,10Y1001A1001A82H,778.0,HKW Heilbronn,Fossil Hard coal,380.0
11W0-0000-0340-T,10Y1001A1001A82H,167.0,HKW Nord,Fossil Gas,110.0
11WD4SWSW5HD4--R,10Y1001A1001A82H,258.0,Schluchseewerk AG,Hydro Pumped Storage,220.0
11WD7BRAU5G-KW-N,10Y1001A1001A82H,562.0,GuD Dormagen,Fossil Gas,110.0
11WD7UCHT5XROSOK,10Y1001A1001A82H,125.0,Kraftwerk Römerbrücke,Fossil Gas,110.0
11WD7NORF5G--KWG,10Y1001A1001A82H,1145.0,Kraftwerk Lausward,Fossil Gas,110.0
11WD72VIA2H-KW-0,10Y1001A1001A82H,1294.0,Vianden,Hydro Pumped Storage,220.0
11WD2ONSO000218S,10Y1001A1001A82H,288.0,Offshore Windpark,Wind Offshore,155.0
11WD4KWRHF5-S--Z,10Y1001A1001A82H,100.0,KW Rheinfelden DE,Hydro Run-of-river and poundage,220.0
11WD4GKM-2CD7--7,10Y1001A1001A82H,691.7,GKM AG Amprion,Fossil Hard coal,220.0
11WD4IFFE5G----Z,10Y1001A1001A82H,146.0,Rheinkraftwerk Iffezheim,Hydro Run-of-river and poundage,110.0
11WD2BHAF000272F,10Y1001A1001A82H,300.0,KW Hafen,Fossil Hard coal,110.0
11W0-0000-0130-6,10Y1001A1001A82H,450.0,Borkum Riffgrund II,Wind Offshore,155.0
11WD2PLAT000267Z,10Y1001A1001A82H,120.0,Kraftwerk Plattling,Fossil Gas,110.0
11WD4WALK5G----E,10Y1001A1001A82H,136.0,Kraftwerk Walheim,Fossil Oil,110.0
11WD8DRES5X---PZ,10Y1001A1001A82H,260.0,GTHKW Nossener Bruecke,Fossil Gas,110.0
11WD2GKBB000334V,10Y1001A1001A82H,450.0,GKB Mittelsbueren,Fossil Gas,110.0
11WD7ENSD5SKW3-E,10Y1001A1001A82H,283.0,Ensdorf,Fossil Hard coal,110.0
11WD7GARE5X-PSWB,10Y1001A1001A82H,140.0,PSW-ROENK-KW,Hydro Pumped Storage,110.0
11WD8SCHK1L----O,10Y1001A1001A82H,900.0,Schkopau,Fossil Brown coal/Lignite,380.0
11WD2INGO0001783,10Y1001A1001A82H,772.0,Ingolstadt,Fossil Oil,220.0
11WD2ZOLL0002880,10Y1001A1001A82H,472.0,Kraftwerk Zolling,Fossil Hard coal,380.0
11WD7KWKN1GBL203,10Y1001A1001A82H,426.0,Knapsack 2,Fossil Gas,380.0
11WD2GEBE000177K,10Y1001A1001A82H,823.0,Franken I,Fossil Gas,110.0
11WD2WBNK000318M,10Y1001A1001A82H,123.0,HKW Nord,Fossil Hard coal,110.0
11WD2MEHR2CSWH-O,10Y1001A1001A82H,690.0,KW Mehrum (KWM),Fossil Hard coal,220.0
11WD8HAVLXW---PM,10Y1001A1001A82H,147.0,Windpark Havelland,Wind Onshore,380.0
11WD4KWLFB5-S--M,10Y1001A1001A82H,106.0,KW Laufenburg,Hydro Run-of-river and poundage,220.0
